teks,label
"Produk ini sangat bagus dan berkualitas tinggi.",positif
"Barang rusak saat diterima, sangat kecewa.",negatif
"Pengiriman cepat, packing rapi, puas sekali.",positif
"Harganya terlalu mahal untuk kualitas seperti ini.",negatif
"Recomended seller, ramah dan membantu.",positif
"Ukuran tidak sesuai, mengecewakan.",negatif
"Barang original, berfungsi dengan baik.",positif
"Setelah dipakai sebentar sudah rusak.",negatif
"Layar jernih, suara bagus, mantap!",positif
"Tidak ada garansi resmi, was-was.",negatif
"Kamera depan dan belakang sangat bagus.",positif
"Desainnya jelek, tidak suka.",negatif
"Baterai tahan lama, senang pakai.",positif
"Software sering error, mengganggu.",negatif
"Harga murah tapi kualitas oke.",positif
"Produk palsu, jangan beli!",negatif
"Material premium, terasa mewah.",positif
"Warna pudar setelah dicuci.",negatif
"Fast charging support, keren!",positif
"Lambat sekali chargingnya.",negatif
"Suara speaker jernih dan lantang.",positif
"Mic rusak, suara tidak keluar.",negatif
"Desain modern dan elegan.",positif
"Tombol kurang responsif.",negatif
"Performa cepat untuk gaming.",positif
"Overheating saat digunakan lama.",negatif
"UI user-friendly dan mudah dipahami.",positif
"Update software lambat.",negatif
"Nilai uang yang sangat baik.",positif
"Layar mudah tergores.",negatif
"Ringan dan nyaman dibawa.",positif
"Berat dan tebal.",negatif
"Koneksi stabil, sinyal bagus.",positif
"Sering disconnect.",negatif
"Fitur lengkap dan berguna.",positif
"Banyak bug di aplikasi.",negatif
"Build quality solid.",positif
"Mudah penyok.",negatif
"Warranty 1 tahun, aman.",positif
"Tidak ada after sales.",negatif
"Foto malam hari bagus.",positif
"Kamera buram di malam hari.",negatif
"Storage besar, lega.",positif
"Storage cepat penuh.",negatif
"RAM besar, multitasking lancar.",positif
"RAM kecil, sering lag.",negatif
"Android clean, tanpa bloatware.",positif
"Banyak iklan di sistem.",negatif
"Update security rutin.",positif
"Vulnerability security.",negatif
"Suara jernih saat panggilan.",positif
"Suara panggilan putus-putus.",negatif
"Desain tipis dan ringan.",positif
"Terlalu tebal.",negatif
"Bisa dibuka bootloader.",positif
"Bootloader terkunci.",negatif
"Kompatibel dengan banyak aksesoris.",positif
"Tidak kompatibel.",negatif
"Nilai jual kembali tinggi.",positif
"Nilai jual rendah.",negatif